2024-09-08 11:17:04,679 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.2967, R² std: 0.0128
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 1e-05} => R² mean: -55299555802975064555520.0000, R² std: 68127160860636130312192.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 0.001} => R² mean: -809560119702566679347200.0000, R² std: 1567210898727617293189120.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 0.0001} => R² mean: -18523175183136791199744.0000, R² std: 22309428505095648051200.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 1e-05} => R² mean: -964813168567264695287808.0000, R² std: 636723143316226231500800.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.3241, R² std: 0.0108
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3261, R² std: 0.0109
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3242, R² std: 0.0117
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3243, R² std: 0.0111
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3245, R² std: 0.0131
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3232, R² std: 0.0144
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.3245, R² std: 0.0104
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3243, R² std: 0.0136
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3249, R² std: 0.0123
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.3251, R² std: 0.0113
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3246, R² std: 0.0128
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3245, R² std: 0.0130
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3247, R² std: 0.0128
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3249, R² std: 0.0125
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3247, R² std: 0.0124
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.3244, R² std: 0.0129
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3247, R² std: 0.0126
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3246, R² std: 0.0127
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.2767, R² std: 0.0236
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3082, R² std: 0.0295
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.2783, R² std: 0.0401
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3076, R² std: 0.0212
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3038, R² std: 0.0331
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3021, R² std: 0.0281
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.2619, R² std: 0.0514
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3002, R² std: 0.0135
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3135, R² std: 0.0147
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 0.001} => R² mean: -0.1920, R² std: 0.6259
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.2325, R² std: 0.0503
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 1e-05} => R² mean: -2.1790, R² std: 4.5945
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.0284, R² std: 0.2857
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.2175, R² std: 0.0678
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.2276, R² std: 0.0795
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 0.001} => R² mean: -28.8166, R² std: 57.8710
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.2269, R² std: 0.0609
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.0037, R² std: 0.4126
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.3222, R² std: 0.0091
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3238, R² std: 0.0138
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3249, R² std: 0.0142
2024-09-08 11:17:04,682 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3233, R² std: 0.0112
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3235, R² std: 0.0125
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3235, R² std: 0.0133
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.3245, R² std: 0.0119
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3243, R² std: 0.0120
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3235, R² std: 0.0126
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.3251, R² std: 0.0126
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3245, R² std: 0.0124
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3244, R² std: 0.0128
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3249, R² std: 0.0122
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3247, R² std: 0.0119
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3245, R² std: 0.0126
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.3244, R² std: 0.0128
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3247, R² std: 0.0125
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3248, R² std: 0.0124
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.2926, R² std: 0.0275
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.2832, R² std: 0.0376
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3109, R² std: 0.0172
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.2613, R² std: 0.0389
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.2660, R² std: 0.0434
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.2915, R² std: 0.0077
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.2684, R² std: 0.0562
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.2870, R² std: 0.0179
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3188, R² std: 0.0129
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.3092, R² std: 0.0061
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3188, R² std: 0.0220
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3157, R² std: 0.0120
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3103, R² std: 0.0219
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3166, R² std: 0.0122
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3113, R² std: 0.0262
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.3235, R² std: 0.0109
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3290, R² std: 0.0106
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'optimal', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3132, R² std: 0.0222
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.3218, R² std: 0.0104
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3242, R² std: 0.0108
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3238, R² std: 0.0124
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3242, R² std: 0.0115
2024-09-08 11:17:04,683 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3262, R² std: 0.0111
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3238, R² std: 0.0117
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.3251, R² std: 0.0114
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3246, R² std: 0.0121
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'invscaling', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3233, R² std: 0.0114
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.3248, R² std: 0.0115
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3252, R² std: 0.0117
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.3250, R² std: 0.0116
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.3249, R² std: 0.0114
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.3253, R² std: 0.0113
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3249, R² std: 0.0112
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.3249, R² std: 0.0119
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3246, R² std: 0.0117
2024-09-08 11:17:04,684 - Parameters: {'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.3248, R² std: 0.0118
